Date,HE,MW
1/23/23,9,3286.363893
1/23/23,10,2991.009759
1/23/23,11,3771.822461
1/23/23,12,4855.965733
1/23/23,13,3607.572991
1/23/23,14,4254.102109
1/23/23,15,5183.787419
1/23/23,16,5813.833206
1/23/23,17,5154.968329
1/23/23,18,6732.458817
1/23/23,19,7664.24863
1/23/23,20,7683.294768
1/23/23,21,7400.7502
1/23/23,22,6104.147099
1/23/23,23,7225.070877
1/23/23,24,6690.091048
1/24/23,1,6661.77728
1/24/23,2,4495.502335
1/24/23,3,4218.330868
1/24/23,4,3353.454232
1/24/23,5,3594.02588
1/24/23,6,3242.105113
1/24/23,7,2863.144322
1/24/23,8,1524.619657
1/24/23,9,1935.615205
1/24/23,10,1232.258866
1/24/23,11,1795.121618
1/24/23,12,1591.040748
1/24/23,13,701.108051
1/24/23,14,1422.706301
1/24/23,15,-438.9938784
1/24/23,16,-340.4207047
1/24/23,17,535.7491903
1/24/23,18,-587.2021862
1/24/23,19,348.8663652
1/24/23,20,-574.8690203
1/24/23,21,419.878685
1/24/23,22,-1326.276868
1/24/23,23,335.0290426
1/24/23,24,1303.342351
1/25/23,1,1843.73754
1/25/23,2,1108.171981
1/25/23,3,1802.308762
1/25/23,4,2684.024781
1/25/23,5,2336.316418
1/25/23,6,2960.996456
1/25/23,7,4690.969328
1/25/23,8,2499.089847
1/25/23,9,4616.563617
1/25/23,10,5176.067979
1/25/23,11,5022.614013
1/25/23,12,4190.036952
1/25/23,13,3816.668537
1/25/23,14,4939.581314
1/25/23,15,4453.832016
1/25/23,17,5323.43298
1/25/23,18,4792.244001
1/25/23,19,5353.620519
1/25/23,20,3891.694614
1/25/23,21,3310.548777
1/25/23,22,5479.879077
1/25/23,23,5813.612773
1/25/23,24,5635.226325
1/26/23,1,6783.339698
1/26/23,2,5483.094221
1/26/23,3,4946.126038
1/26/23,4,5873.051904
1/26/23,5,7169.505564
1/26/23,6,7738.484596
1/26/23,7,7107.676242
1/26/23,8,7071.169949
1/26/23,9,8327.846948
1/26/23,10,9171.633521
1/26/23,11,8639.777704
1/26/23,12,8588.142971
1/26/23,13,8604.082184
1/26/23,14,8523.204706
1/26/23,15,7003.113565
1/26/23,16,8187.751279
1/26/23,17,7057.222948
1/26/23,18,6056.419941
1/26/23,19,4766.883607
1/26/23,20,6969.10935
1/26/23,21,6281.011844
1/26/23,22,6574.138314
1/26/23,23,4113.588045
1/26/23,24,5376.54904
1/27/23,1,4454.962177
1/27/23,2,3874.539362
1/27/23,3,5138.534019
1/27/23,4,5810.591417
1/27/23,5,3837.266639
1/27/23,6,5558.688608
1/27/23,7,6706.987749
1/27/23,8,7570.484487
1/27/23,9,7432.118987
1/27/23,10,8870.015154
1/27/23,11,7396.312951
1/27/23,12,8513.968746
1/27/23,13,8216.084733
1/27/23,14,8138.54307
1/27/23,15,6951.291751
1/27/23,16,7948.535941
1/27/23,17,8845.263288
1/27/23,18,8812.838071
1/27/23,19,8167.308902
1/27/23,20,7266.772218
1/27/23,21,7627.403637
1/27/23,22,8173.651881
1/27/23,23,7194.070671
1/27/23,24,8530.808791
1/28/23,1,8482.695125
1/28/23,2,7897.764368
1/28/23,3,3265.772559
1/28/23,4,3306.519639
1/28/23,5,3505.583892
1/28/23,6,1790.597231
1/28/23,7,2054.142856
1/28/23,8,3144.591116
1/28/23,9,2498.21268
1/28/23,10,1351.295377
1/28/23,11,2351.670842
1/28/23,12,1893.977889
1/28/23,13,2520.256367
1/28/23,14,2233.381782
1/28/23,15,3034.231466
1/28/23,16,3060.060657
1/28/23,17,3479.095857
1/28/23,18,2875.13435
1/28/23,19,2845.257475
1/28/23,20,3817.18281
1/28/23,21,5125.79891
1/28/23,22,1806.284346
1/28/23,23,2767.530816
1/28/23,24,4083.601515
1/29/23,1,4903.860032
1/29/23,2,3657.537554
1/29/23,3,3887.093859
1/29/23,4,4182.774595
1/29/23,5,4389.012429
1/29/23,6,4321.948148
1/29/23,7,4310.951659
1/29/23,8,3544.39957
1/29/23,9,4089.181805
1/29/23,10,4108.78152
1/29/23,11,4461.259881
1/29/23,12,2254.390038
1/29/23,13,3256.143026
1/29/23,14,2199.823687
1/29/23,15,1731.066719
1/29/23,16,1495.994119
1/29/23,17,1930.722675
1/29/23,18,2194.496526
1/29/23,19,2050.033343
1/29/23,20,1815.90935
1/29/23,21,1712.605474
1/29/23,22,1480.169823
1/29/23,23,2006.485926
1/29/23,24,1468.311514
1/30/23,1,2696.473356
1/30/23,2,2611.026929
