Date,HE,Area,MW,,,
1/23/23,12,RTO,3963.319,,,
1/23/23,13,RTO,4750.849,,,
1/23/23,14,RTO,5215.525,,,
1/23/23,15,RTO,5605.404,,,
1/23/23,16,RTO,5855.308,,,
1/23/23,17,RTO,5859.551,,,
1/23/23,18,RTO,5666.644,,,
1/23/23,19,RTO,6146.477,,,
1/23/23,20,RTO,6749.066,,,
1/23/23,21,RTO,7185.506,,,
1/23/23,22,RTO,7449.478,,,
1/23/23,23,RTO,7641.983,,,
1/23/23,24,RTO,7292.201,,,
1/24/23,1,RTO,6751.811,,,
1/24/23,2,RTO,6055.366,,,
1/24/23,3,RTO,5096.023,,,
1/24/23,4,RTO,4539.105,,,
1/24/23,5,RTO,4053.04,,,
1/24/23,6,RTO,3256.09,,,
1/24/23,7,RTO,2670.06,,,
1/24/23,8,RTO,2104.566,,,
1/24/23,9,RTO,1844.374,,,
1/24/23,10,RTO,1655.638,,,
1/24/23,11,RTO,1499.769,,,
1/24/23,12,RTO,1423.706,,,
1/24/23,13,RTO,1302.263,,,
1/24/23,14,RTO,1311.716,,,
1/24/23,15,RTO,887.335,,,
1/24/23,16,RTO,469.976,,,
1/24/23,17,RTO,306.861,,,
1/24/23,18,RTO,246.88,,,
1/24/23,19,RTO,231.641,,,
1/24/23,20,RTO,237.186,,,
1/24/23,21,RTO,399.029,,,
1/24/23,22,RTO,575.915,,,
1/24/23,23,RTO,911.292,,,
1/24/23,24,RTO,1340.777,,,
1/25/23,1,RTO,1571.859,,,
1/25/23,2,RTO,1739.965,,,
1/25/23,3,RTO,2001.526,,,
1/25/23,4,RTO,2033.419,,,
1/25/23,5,RTO,2635.756,,,
1/25/23,6,RTO,3280.295,,,
1/25/23,7,RTO,3804.459,,,
1/25/23,8,RTO,4018.775,,,
1/25/23,9,RTO,5048.282,,,
1/25/23,10,RTO,5468.864,,,
1/25/23,11,RTO,5274.879,,,
1/25/23,12,RTO,4944.46,,,
1/25/23,13,RTO,4717.685,,,
1/25/23,14,RTO,4674.585,,,
1/25/23,15,RTO,5205.6,,,
1/25/23,17,RTO,5577.237,,,
1/25/23,18,RTO,5319.932,,,
1/25/23,19,RTO,4919.966,,,
1/25/23,20,RTO,4678.447,,,
1/25/23,21,RTO,4557.889,,,
1/25/23,22,RTO,4758.877,,,
1/25/23,23,RTO,5284.391,,,
1/25/23,24,RTO,5566.468,,,
1/26/23,1,RTO,5736.125,,,
1/26/23,2,RTO,6120.212,,,
1/26/23,3,RTO,6215.1,,,
1/26/23,4,RTO,6626.283,,,
1/26/23,5,RTO,7141.504,,,
1/26/23,6,RTO,7384.041,,,
1/26/23,7,RTO,7549.859,,,
1/26/23,8,RTO,7723.557,,,
1/26/23,9,RTO,7722.497,,,
1/26/23,10,RTO,7952.782,,,
1/26/23,11,RTO,8291.676,,,
1/26/23,12,RTO,8315.385,,,
1/26/23,13,RTO,8223.3,,,
1/26/23,14,RTO,8163.462,,,
1/26/23,15,RTO,8022.813,,,
1/26/23,16,RTO,7711.999,,,
1/26/23,17,RTO,7637.457,,,
1/26/23,18,RTO,7418.287,,,
1/26/23,19,RTO,7100.695,,,
1/26/23,20,RTO,7026.991,,,
1/26/23,21,RTO,7309.546,,,
1/26/23,22,RTO,6712.555,,,
1/26/23,23,RTO,6181.206,,,
1/26/23,24,RTO,5824.28,,,
1/27/23,1,RTO,5581.784,,,
1/27/23,2,RTO,5526.636,,,
1/27/23,3,RTO,5250.817,,,
1/27/23,4,RTO,5650.247,,,
1/27/23,5,RTO,6168.495,,,
1/27/23,6,RTO,6296.664,,,
1/27/23,7,RTO,6558.216,,,
1/27/23,8,RTO,7157.408,,,
1/27/23,9,RTO,7669.495,,,
1/27/23,10,RTO,8064.228,,,
1/27/23,11,RTO,8281.133,,,
1/27/23,12,RTO,8262.21,,,
1/27/23,13,RTO,8346.592,,,
1/27/23,14,RTO,8429.365,,,
1/27/23,15,RTO,8263.694,,,
1/27/23,16,RTO,8141.689,,,
1/27/23,17,RTO,8036.252,,,
1/27/23,18,RTO,7893.16,,,
